name,rating,reviews,address,website,type,lat,lng
Windsor Arms Hotel,3.9,1322,"18 St Thomas St, Toronto, ON M5S 3E7, Canada",http://windsorarmshotel.com/,"spa, lodging, restaurant, food, point_of_interest, establishment",43.66883109999999,-79.3909348
Monte Carlo Inn - Airport Suites,3.5,1487,"7035 Edwards Blvd, Mississauga, ON L5S 1X2, Canada",https://www.montecarloinns.com/airport-suites,"lodging, restaurant, food, point_of_interest, establishment",43.6492358,-79.7035125
Monte Carlo Inn & Suites - Downtown Markham,4,2264,"7255 Warden Ave., Markham, ON L3R 1B4, Canada",http://www.montecarloinns.com/downtown-markham-suites,"lodging, restaurant, food, point_of_interest, establishment",43.82808759999999,-79.3258714
Monte Carlo Inn - Brampton Suites,3.7,1291,"45 Coventry Rd, Brampton, ON L6T 4V7, Canada",https://www.montecarloinns.com/brampton-suites,"restaurant, lodging, point_of_interest, food, establishment",43.73987409999999,-79.69234349999999
Marquis Lounge and Bistro,4.4,9,"92 Peter St, Toronto, ON M5V 2G5, Canada",http://hiltongardeninn3.hilton.com/en/hotels/ontario/hilton-garden-inn-toronto-downtown-YYZDTGI/dining/index.html,"restaurant, bar, food, point_of_interest, establishment",43.6469792,-79.3932286
7 West Cafe,4,3235,"7 Charles St W, Toronto, ON M4Y 1R4, Canada",http://www.7westcafe.com/,"cafe, meal_delivery, bar, meal_takeaway, restaurant, food, point_of_interest, establishment",43.6684876,-79.386714
Boston Pizza,3.9,1688,"1510 Aimco Blvd, Mississauga, ON L4W 5K1, Canada",https://bostonpizza.com/dixie-and-aimco,"bar, restaurant, food, point_of_interest, establishment",43.6382534,-79.62296889999999
Canlan Sports,4,255,"159 Dynamic Dr, Scarborough, ON M1V 5L8, Canada",https://www.canlansports.com/,"school, clothing_store, health, bar, restaurant, store, food, point_of_interest, establishment",43.8291323,-79.2516358
Boston Pizza,3.9,2250,"5 Carlson Ct, Etobicoke, ON M9W 6A2, Canada",https://bostonpizza.com/en/locations.html,"meal_takeaway, meal_delivery, bar, restaurant, food, store, point_of_interest, establishment",43.6888206,-79.58582190000001
Tim Hortons,3.9,1801,"2501 Victoria Park Ave, Scarborough, ON M1T 1A1, Canada",http://locations.timhortons.ca/en/on/scarborough/2501-victoria-park-ave,"bakery, cafe, restaurant, point_of_interest, store, food, establishment",43.7715682,-79.3203922
Tim Hortons,3.9,1775,"55 York St, Toronto, ON M5J 1R7, Canada",https://locations.timhortons.ca/en/on/toronto/55-york-st/,"bakery, cafe, restaurant, store, food, point_of_interest, establishment",43.6461046,-79.3825715
East Side Mario's,4,2695,"12 Lebovic Ave Unit 9, Scarborough, ON M1L 4V9, Canada",https://www.eastsidemarios.com/en/locations/on/scarborough/12-lebovic-avenue,"restaurant, meal_takeaway, food, point_of_interest, establishment",43.7239336,-79.2906744
Madison Avenue Pub,4,4591,"14 Madison Ave, Toronto, ON M5R 2S1, Canada",http://www.madisonavenuepub.com/,"bar, restaurant, food, point_of_interest, establishment",43.667827,-79.403296
Little India Restaurant,4,2788,"255 Queen St W, Toronto, ON M5V 1Z4, Canada",https://www.littleindia.ca/,"restaurant, food, point_of_interest, establishment",43.6501721,-79.3889085
Boston Pizza,3.9,1891,"180 Rimrock Rd, North York, ON M3J 2Z4, Canada",https://bostonpizza.com/allen-road,"bar, restaurant, food, point_of_interest, establishment",43.7578999,-79.4659714
Tim Hortons,4,298,"5980 Hurontario St, Mississauga, ON L5R 3T6, Canada",http://locations.timhortons.ca/en/on/mississauga/5980-hurontario-st,"bakery, cafe, store, restaurant, food, point_of_interest, establishment",43.62562859999999,-79.679482
Tapas at Embrujo,4,617,"97 Danforth Ave, Toronto, ON M4K 1N2, Canada",http://www.tapasatembrujo.com/,"restaurant, food, point_of_interest, establishment",43.6761753,-79.3582888
Rodeo Brazilian Steakhouse Rodizio,4,1073,"95 Danforth Ave, Toronto, ON M4K 1N2, Canada",http://www.rodeobraziliansteakhouse.com/,"restaurant, food, point_of_interest, establishment",43.67611429999999,-79.3584423
Tim Hortons,3.2,558,"1910 Yonge St, Toronto, ON M4S 1Z3, Canada",http://locations.timhortons.ca/en/on/toronto/1910-yonge-st,"cafe, bakery, restaurant, store, point_of_interest, food, establishment",43.6984848,-79.3968824
Tim Hortons,3.7,1254,"246 Bloor St W, Toronto, ON M5S 1V4, Canada",https://locations.timhortons.ca/en/on/toronto/246-bloor-street-west/,"cafe, bakery, restaurant, store, point_of_interest, food, establishment",43.6681762,-79.39768780000001
Tim Hortons,3.8,3539,"6767 Airport Rd, Mississauga, ON L4V 1E6, Canada",http://locations.timhortons.ca/en/on/mississauga/6767-airport-rd,"cafe, bakery, restaurant, store, point_of_interest, food, establishment",43.6995687,-79.63591919999999
Tim Hortons,3.6,764,"9251 Woodbine Ave, Markham, ON L6C 1Y9, Canada",http://locations.timhortons.ca/en/on/markham/9251-woodbine-ave,"cafe, bakery, restaurant, store, point_of_interest, food, establishment",43.8691312,-79.3623047
Tim Hortons,3.7,1139,"4820 Sheppard Ave E Unit 27 Unit 27, Scarborough, ON M1S 4N5, Canada",http://locations.timhortons.ca/en/on/scarborough/4820-sheppard-ave-east-unit-27,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",43.7918823,-79.24945679999999
Tim Hortons,3.4,1163,"3488 Lawrence Ave E, Scarborough, ON M1H 1A9, Canada",http://locations.timhortons.ca/en/on/scarborough/3488-lawrence-ave-e,"bakery, cafe, restaurant, food, point_of_interest, store, establishment",43.7600276,-79.22654539999999
Tim Hortons,3.9,800,"2700 Dufferin St, Toronto, ON M6B 4J3, Canada",http://locations.timhortons.ca/en/on/toronto/2700-dufferin-st,"bakery, cafe, restaurant, food, point_of_interest, store, establishment",43.70118119999999,-79.45251879999999
