name,rating,reviews,address,website,type,lat,lng
Century Plaza Hotel,4,1804,"1015 Burrard St, Vancouver, BC V6Z 1Y5, Canada",http://www.century-plaza.com/,"cafe, lodging, restaurant, food, point_of_interest, store, establishment",49.2808927,-123.1270959
Executive Suites Hotel and Conference Centre Metro Vancouver,3.7,1363,"4201 Lougheed Hwy., Burnaby, BC V5C 3Y6, Canada",http://www.executivehotelburnaby.com/,"cafe, lodging, bar, restaurant, food, point_of_interest, store, establishment",49.2675628,-123.0107421
,,,,,,,
Boston Pizza,4,1554,"2850 Bentall St, Vancouver, BC V5M 4H4, Canada",https://bostonpizza.com/grandview-hwy,"restaurant, bar, point_of_interest, food, establishment",49.25847460000001,-123.0306817
Boston Pizza,3.7,1355,"1045 Columbia St, New Westminster, BC V3M 6H7, Canada",https://bostonpizza.com/new-west,"bar, restaurant, food, point_of_interest, establishment",49.2005023,-122.9183742
REVS Bowling,3.8,2324,"5502 Lougheed Hwy., Burnaby, BC V5B 2Z8, Canada",http://www.revs.ca/,"bowling_alley, bar, restaurant, food, point_of_interest, establishment",49.26404309999999,-122.9836354
Boston Pizza,3.9,1296,"15125 100 Ave, Surrey, BC V3R 0J8, Canada",https://bostonpizza.com/guildford,"bar, restaurant, food, point_of_interest, establishment",49.1844447,-122.8034568
Boston Pizza,3.6,1240,"7488 King George Blvd #600, Surrey, BC V3W 0H9, Canada",https://bostonpizza.com/newton,"bar, restaurant, food, point_of_interest, establishment",49.1380772,-122.8449654
Boston Pizza,3.8,797,"1333 W Broadway #190, Vancouver, BC V6H 4C1, Canada",https://bostonpizza.com/broadway,"bar, restaurant, food, point_of_interest, establishment",49.26386979999999,-123.1342545
Tim Hortons,3.7,1575,"6641 Kingsway, Burnaby, BC V5E 1E2, Canada",https://locations.timhortons.ca/en/bc/burnaby/6641-kingsway/,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",49.2191161,-122.966677
Tim Hortons,3.4,214,"4512 Lougheed Hwy., Burnaby, BC V5C 3Z4, Canada",https://locations.timhortons.ca/en/bc/burnaby/4512-lougheed-hwy/,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.2660648,-123.0023892
Boston Pizza,3.6,1246,"11662 Steveston Hwy #2000, Richmond, BC V7A 5J3, Canada",https://bostonpizza.com/ironwood,"bar, restaurant, food, point_of_interest, establishment",49.1329885,-123.0955654
,,,,,,,
,,,,,,,
City Square Shopping Centre,3.7,430,"555 W 12th Ave, Vancouver, BC V5Z 3X7, Canada",https://citysquarevan.com/,"shopping_mall, restaurant, food, point_of_interest, health, establishment",49.2608805,-123.1165207
Boston Pizza,3.9,902,"6486 176 St #600, Surrey, BC V3S 4G3, Canada",https://bostonpizza.com/cloverdale,"bar, restaurant, food, point_of_interest, establishment",49.12003620000001,-122.7344072
Boston Pizza,3.6,766,"805 Boyd St P100, New Westminster, BC V3M 0A7, Canada",https://bostonpizza.com/queensborough,"bar, restaurant, food, point_of_interest, establishment",49.1913762,-122.9482396
Subway,4,345,"8555 Sea Island Wy Unit 130, Richmond, BC V6X 1Y1, Canada",https://restaurants.subway.com/canada/bc/richmond/8555-sea-island-way?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=42764&utm_campaign=evergreen-2020&y_source=1_MTQ5MjA0NjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"meal_takeaway, restaurant, food, point_of_interest, establishment",49.19167799999999,-123.1286652
The One Restaurant,3.9,1836,"5908 Kingsway, Burnaby, BC V5J 1H2, Canada",http://theonerestaurant.ca/,"restaurant, food, point_of_interest, establishment",49.2205798,-122.9772057
Tim Hortons,3.4,530,"555 W Hastings St Unit 6, Vancouver, BC V6B 5K3, Canada",https://locations.timhortons.ca/en/bc/vancouver/555-hastings-st-west,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.2849465,-123.1119939
Boston Pizza,3.8,884,"1956 152 St, Surrey, BC V4A 4N6, Canada",https://bostonpizza.com/white-rock,"bar, restaurant, food, point_of_interest, establishment",49.0375643,-122.8008813
Tim Hortons,3.4,1324,"805 Boyd St, New Westminster, BC V3M 0A7, Canada",http://locations.timhortons.ca/en/bc/new-westminster/805-boyd-st,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.1905855,-122.9484902
Prestons Restaurant + Lounge Vancouver,3.9,327,"1177 W Pender St, Vancouver, BC V6E 2P4, Canada",https://www.prestonsvancouver.ca/,"restaurant, food, point_of_interest, establishment",49.28821899999999,-123.122225
